Start,End,Moon Phase end
2043/6/28,2043/7/8,0.00508860707283
2043/7/27,2043/8/6,0.001276405453682
2043/8/26,2043/9/4,0.001464071124792
2043/9/24,2043/10/4,0.000287592336535
2043/10/23,2043/11/3,0.003155498802662
2043/11/22,2043/12/2,0.00249202221632
2043/12/21,2044/1/1,0.001831174343824
2044/1/20,2044/1/31,0.001053933724761
2044/2/19,2044/3/1,0.002405859082937
2044/3/19,2044/3/30,0.000428721383214
2044/4/18,2044/4/29,0.003781038224697
2044/5/18,2044/5/28,0.001910054981709
2044/6/17,2044/6/26,0.002682779431343
2044/7/16,2044/7/26,0.004860707223415
2044/8/14,2044/8/24,0.000640519335866
2044/9/13,2044/9/22,0.000691044405103
2044/10/12,2044/10/22,0.002338948398829
2044/11/10,2044/11/20,0.002885156571865
2044/12/10,2044/12/20,0.001646139472723
2045/1/8,2045/1/19,0.000769779831171
2045/2/7,2045/2/18,0.000909949615598
2045/3/8,2045/3/19,0.002382193654776
2045/4/7,2045/4/18,0.001446603983641
2045/5/7,2045/5/18,0.004569350481033
2045/6/6,2045/6/16,0.00153496414423
2045/7/5,2045/7/15,0.001462225466967
2045/8/4,2045/8/14,0.004365584552288
2045/9/2,2045/9/12,0.001141974627972
2045/10/2,2045/10/11,0.001721001267433
2045/10/31,2045/11/10,0.004004289209843
2045/11/29,2045/12/9,0.001823752075434
2045/12/29,2046/1/8,0.000587822757661
2046/1/27,2046/2/7,0.001149964183569
2046/2/26,2046/3/8,0.002624475061893
2046/3/27,2046/4/7,0.002150280326605
2046/4/26,2046/5/7,0.00195878252387
2046/5/26,2046/6/5,0.003733574450016
2046/6/24,2046/7/5,0.000549781993032
2046/7/24,2046/8/3,0.000633938238025
2046/8/23,2046/9/2,0.004902614355087
2046/9/21,2046/10/1,0.00216026827693
2046/10/21,2046/10/30,0.002450961768627
2046/11/19,2046/11/29,0.003456567525864
2046/12/19,2046/12/28,0.000460736900568
2047/1/17,2047/1/27,0.000780778378248
2047/2/15,2047/2/25,0.003048672676086
2047/3/17,2047/3/27,0.002242801040411
2047/4/15,2047/4/26,0.001774378418922
2047/5/15,2047/5/26,0.00205470725894
2047/6/13,2047/6/24,0.00075471483171
2047/7/13,2047/7/24,0.001176154688001
2047/8/11,2047/8/22,0.00114520996809
2047/9/10,2047/9/21,0.005752499699593
2047/10/10,2047/10/20,0.00207132011652
2047/11/9,2047/11/18,0.00203212633729
2047/12/8,2047/12/18,0.001830684095621
2048/1/7,2048/1/16,0.000557094961405
2048/2/5,2048/2/15,0.002214157581329
2048/3/6,2048/3/15,0.003135329186916
2048/4/4,2048/4/14,0.001619488596916
2048/5/3,2048/5/14,0.00166792973876
2048/6/2,2048/6/12,0.001058288663626
2048/7/1,2048/7/12,0.00034716270864
2048/7/30,2048/8/10,0.003824167847633
2048/8/29,2048/9/9,0.001887021809816
2048/9/28,2048/10/8,0.004819724559784
2048/10/28,2048/11/7,0.000775097310543
2048/11/26,2048/12/6,0.001918903589249
2048/12/26,2049/1/5,0.001262651085854
2049/1/25,2049/2/3,0.002291615754366
2049/2/23,2049/3/5,0.002913574278355
2049/3/25,2049/4/3,0.002256212085485
2049/4/23,2049/5/3,0.000893113091588
2049/5/22,2049/6/1,0.001402703225613
2049/6/21,2049/7/1,0.000524114072323
2049/7/20,2049/7/31,0.003160528242588
2049/8/18,2049/8/29,0.002392769902945
2049/9/17,2049/9/28,0.001687988489866
2049/10/16,2049/10/27,0.002486287355423
2049/11/15,2049/11/26,8.1306342035532E+AC0-05
2049/12/15,2049/12/25,0.003314256966114
2050/1/14,2050/1/24,0.001808345764875
2050/2/13,2050/2/22,0.003873530030251
2050/3/14,2050/3/24,0.001852898448706
2050/4/13,2050/4/22,0.000876999422908
2050/5/12,2050/5/22,0.001728659123182
2050/6/10,2050/6/20,0.00089455999434
2050/7/10,2050/7/20,0.003025997877121
2050/8/8,2050/8/18,0.002480674684048
2050/9/6,2050/9/17,0.001207689344883
2050/10/6,2050/10/17,0.001827486902475
2050/11/4,2050/11/15,0.000867900326848
2050/12/4,2050/12/15,0.001022340506315
2051/1/3,2051/1/13,0.0049005022645
2051/2/2,2051/2/12,0.001768715679646
2051/3/4,2051/3/13,0.004179593324661
2051/4/2,2051/4/12,0.000491765663028
2051/5/2,2051/5/11,0.000797573924065
2051/5/31,2051/6/10,0.004050753712654
2051/6/29,2051/7/9,0.001883980035782
2051/7/29,2051/8/7,0.003612801134586
2051/8/27,2051/9/6,0.000912505611777
2051/9/25,2051/10/6,0.001613054722548
2051/10/25,2051/11/4,0.001215602084994
2051/11/23,2051/12/4,0.001187886819243
2051/12/23,2052/1/3,0.002251612246037
2052/1/22,2052/2/1,0.004493480324745
2052/2/21,2052/3/2,0.000655694976449
2052/3/21,2052/4/1,0.003750053942204
2052/4/20,2052/4/30,0.000600889474154
2052/5/20,2052/5/29,0.002050788402557
2052/6/18,2052/6/28,0.005723053812981
2052/7/18,2052/7/27,0.001940389126539
2052/8/16,2052/8/25,0.001342119425535
2052/9/14,2052/9/24,0.000905838534236
2052/10/13,2052/10/23,0.00152165338397
2052/11/12,2052/11/22,0.00138864159584
2052/12/11,2052/12/22,0.002060164064169
2053/1/10,2053/1/21,0.002409944981337
2053/2/8,2053/2/19,0.002244308143854
2053/3/10,2053/3/21,1.87467003706843E+AC0-05
2053/4/9,2053/4/20,0.004010700285435
2053/5/9,2053/5/19,0.001712780594826
2053/6/7,2053/6/17,0.002771602272987
2053/7/7,2053/7/17,0.005385470986366
2053/8/5,2053/8/15,0.001027745753527
2053/9/4,2053/9/13,0.000307844243944
2053/10/3,2053/10/13,0.002850670516491
2053/11/1,2053/11/11,0.001834884434938
2053/12/1,2053/12/11,0.002090918719769
2053/12/30,2054/1/10,0.002307552099228
2054/1/29,2054/2/8,0.002296617180109
2054/2/27,2054/3/10,0.000646369606256
2054/3/29,2054/4/9,0.001000393778086
2054/4/28,2054/5/8,0.004373817145824
2054/5/27,2054/6/7,0.001992315649986
2054/6/26,2054/7/6,0.001880567967892
2054/7/26,2054/8/5,0.004205091297627
2054/8/24,2054/9/3,0.000778635889292
2054/9/23,2054/10/2,0.001132985204458
2054/10/22,2054/11/1,0.004758997857571
2054/11/21,2054/11/30,0.001858937889338
2054/12/20,2054/12/30,0.001898760348558
2055/1/18,2055/1/28,0.001966865211725
2055/2/17,2055/2/27,0.000645321384072
2055/3/18,2055/3/29,0.001150515675545
2055/4/17,2055/4/28,0.00270364433527
2055/5/16,2055/5/27,0.002814421653748
2055/6/15,2055/6/26,0.001237690448761
2055/7/15,2055/7/25,0.000549223050475
2055/8/13,2055/8/24,0.004228678643703
2055/9/12,2055/9/22,0.001674673855305
2055/10/12,2055/10/21,0.00237764775753
2055/11/10,2055/11/20,0.004497046172619
2055/12/10,2055/12/19,0.000708131045103
2056/1/8,2056/1/18,0.001913661807776
2056/2/6,2056/2/16,0.001108779832721
2056/3/7,2056/3/17,0.001387907266617
2056/4/5,2056/4/16,0.002571538388729
2056/5/5,2056/5/15,0.003388420045376
2056/6/3,2056/6/14,0.000564894005656
2056/7/3,2056/7/14,0.001653773784637
2056/8/1,2056/8/12,0.000525663457811
2056/8/31,2056/9/10,0.004716452658176
2056/9/30,2056/10/10,0.002244540154934
2056/10/29,2056/11/8,0.002444860488176
2056/11/28,2056/12/8,0.002568500936031
2056/12/28,2057/1/6,0.000121575491503
2057/1/26,2057/2/5,0.002982103824615
2057/2/25,2057/3/6,0.001913114786148
2057/3/26,2057/4/5,0.002316435426474
2057/4/24,2057/5/4,0.003350355625153
2057/5/24,2057/6/3,0.00044393312186
2057/6/22,2057/7/3,0.000562334656715
2057/7/21,2057/8/1,0.002044364064932
2057/8/20,2057/8/31,0.001738028675318
2057/9/19,2057/9/29,0.00408449858427
2057/10/18,2057/10/29,0.001408440619707
2057/11/17,2057/11/27,0.00179707095027
2057/12/17,2057/12/27,0.001333492398262
2058/1/16,2058/1/25,0.001334892511368
2058/2/14,2058/2/24,0.003775043785572
2058/3/16,2058/3/25,0.002034379690886
2058/4/14,2058/4/24,0.002263195365667
2058/5/13,2058/5/23,0.000636843889952
2058/6/12,2058/6/22,0.000539074800909
2058/7/11,2058/7/21,0.002612679600716
2058/8/9,2058/8/20,0.001804288029671
2058/9/8,2058/9/19,0.002813211679459
2058/10/7,2058/10/18,0.001899593323469
2058/11/6,2058/11/17,0.000417313501239
2058/12/6,2058/12/16,0.001975441426039
2059/1/5,2059/1/15,0.001694092154503
2059/2/4,2059/2/13,0.003137159645557
2059/3/5,2059/3/15,0.002824935317039
2059/4/4,2059/4/13,0.001009763479233
2059/5/3,2059/5/13,0.002412029355764
2059/6/1,2059/6/11,0.000323574431241
2059/7/1,2059/7/11,0.003805404305458
2059/7/30,2059/8/9,0.001950697898865
2059/8/28,2059/9/8,0.00232607036829
2059/9/26,2059/10/7,0.002330742776394
2059/10/26,2059/11/6,0.000113406507298
2059/11/25,2059/12/6,0.001168857067823
2059/12/25,2060/1/4,0.002951695919037
2060/1/24,2060/2/3,0.00207333907485
2060/2/22,2060/3/3,0.003746076226234
2060/3/23,2060/4/2,0.00096261382103
2060/4/22,2060/5/1,0.000590905547142
2060/5/21,2060/5/31,0.003748174011707
2060/6/20,2060/6/29,0.001632460653782
2060/7/19,2060/7/28,0.003158531188965
2060/8/17,2060/8/27,0.001769356578588
2060/9/15,2060/9/25,0.002220157980919
2060/10/14,2060/10/25,0.000119912913069
2060/11/13,2060/11/24,0.000828990116715
2060/12/13,2060/12/24,0.003319661915302
